title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,affiliations,candidate_id,scored_at,is_preprint,venue_score,citation_score,institution_score,institution_bonus,relevance_score,total_quality_score,review_reason,recommended_action
Open Source Intelligence OSINT: Issues for Congress,Richard A. Best; Alfred Cumming,2008.0,,,,https://apps.dtic.mil/dtic/tr/fulltext/u2/a475067.pdf,OpenAlex,open source intelligence,discovery,31.0,1.0,,17,2026-04-28T15:13:06.340854+00:00,False,20.0,75.1,20.0,0.0,50.0,49.54,Quality uncertain or moderate,human review
Applying Digital Forensics Methodology to Open Source Investigations in Counterterrorism,Mohamed El-Guindy El-Guindy,2021.0,Journal of Law and Emerging Technologies,10.54873/jolets.v1i1.32,,https://doi.org/10.54873/jolets.v1i1.32,OpenAlex,OSINT methodology,discovery,5.0,34.0,,66,2026-04-28T15:13:06.340854+00:00,False,40.0,38.82,20.0,0.0,62.5,45.15,Quality uncertain or moderate,human review
Osint By Crowdsourcing: A Theoretical Model For Online Child Abuse Investigations,Kemal Veli Açar,2018.0,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.1467897,,https://zenodo.org/record/1467897,OpenAlex,OSINT investigation,discovery,14.0,0.0,,125,2026-04-28T15:13:06.340854+00:00,False,40.0,58.68,20.0,0.0,37.5,46.85,Quality uncertain or moderate,human review
Leveraging Open Source INTelligence (OSINT) for Cryptocurrency Crime Investigation Using Tools and Techniques,Byung Wan Suh; Won-Woong Kim,2025.0,"2025 9th International Conference on Cryptography, Security and Privacy (CSP)",10.1109/csp66295.2025.00010,,https://doi.org/10.1109/csp66295.2025.00010,Crossref,OSINT investigation,discovery,,,,141,2026-04-28T15:13:06.340854+00:00,False,100.0,0.0,20.0,0.0,75.0,53.75,Quality uncertain or moderate,human review
Incremental Hacker Forum Exploit Collection and Classification for Proactive Cyber Threat Intelligence: An Exploratory Study,Ryan Williams; Sagar Samtani; Mark Patton; Hsinchun Chen,2018.0,,10.1109/isi.2018.8587336,,https://doi.org/10.1109/isi.2018.8587336,OpenAlex,threat intelligence collection,discovery,39.0,12.0,,266,2026-04-28T15:13:06.340854+00:00,False,20.0,79.93,20.0,0.0,37.5,48.35,Quality uncertain or moderate,human review
Taxonomy Model for Cyber Threat Intelligence Information Exchange Technologies,Eric Burger; Michael D. Goodman; Panos Kampanakis; Kevin A. Zhu,2014.0,,10.1145/2663876.2663883,,https://doi.org/10.1145/2663876.2663883,OpenAlex,threat intelligence collection,discovery,128.0,10.0,,278,2026-04-28T15:13:06.340854+00:00,False,20.0,100.0,20.0,0.0,25.0,53.25,Quality uncertain or moderate,human review
inTIME: A Machine Learning-Based Framework for Gathering and Leveraging Web Data to Cyber-Threat Intelligence,Paris Koloveas; Thanasis Chantzios; Sofia Alevizopoulou; Spiros Skiadopoulos; Christos Tryfonopoulos,2021.0,Electronics,10.3390/electronics10070818,,https://doi.org/10.3390/electronics10070818,OpenAlex,threat intelligence collection,discovery,65.0,80.0,,286,2026-04-28T15:13:06.340854+00:00,False,40.0,90.78,20.0,0.0,37.5,59.69,Quality uncertain or moderate,human review
A cognitive platform for collecting cyber threat intelligence and real-time detection using cloud computing,Prasasthy Balasubramanian; Sadaf Nazari; Danial Khosh Kholgh; Alireza Mahmoodi; Justin Seby; Panos Kostakos,2025.0,Decision Analytics Journal,10.1016/j.dajour.2025.100545,,https://doi.org/10.1016/j.dajour.2025.100545,OpenAlex,threat intelligence collection,discovery,21.0,65.0,,288,2026-04-28T15:13:06.340854+00:00,False,40.0,66.98,20.0,0.0,25.0,47.04,Quality uncertain or moderate,human review
Cybercrimes Investigation and Intrusion Detection in Internet of Things Based on Data Science Methods,Ezz El‐Din Hemdan; D. H. Manjaiah,2017.0,Lecture notes on data engineering and communications technologies,10.1007/978-3-319-70688-7_2,,https://doi.org/10.1007/978-3-319-70688-7_2,OpenAlex,internet investigation methods,discovery,21.0,22.0,,326,2026-04-28T15:13:06.340854+00:00,False,40.0,66.98,20.0,0.0,50.0,53.29,Quality uncertain or moderate,human review
On Netnography: Initial Reflections on Consumer Research Investigations of Cyberculture,Robert V. Kozinets,1998.0,,,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.201.2695,OpenAlex,internet investigation methods,discovery,638.0,13.0,,343,2026-04-28T15:13:06.340854+00:00,False,20.0,100.0,20.0,0.0,25.0,53.25,Quality uncertain or moderate,human review
Exploring the Dark Web for Cyber Threat Intelligence using Machine Leaning,Masashi Kadoguchi; S. HAYASHI; Masaki Hashimoto; Akira Otsuka,2019.0,,10.1109/isi.2019.8823360,,https://doi.org/10.1109/isi.2019.8823360,OpenAlex,dark web intelligence,discovery,50.0,0.0,,405,2026-04-28T15:13:06.340854+00:00,False,20.0,85.19,20.0,0.0,50.0,53.58,Quality uncertain or moderate,human review
"A Crawler Architecture for Harvesting the Clear, Social, and Dark Web for IoT-Related Cyber-Threat Intelligence",Paris Koloveas; Thanasis Chantzios; Christos Tryfonopoulos; Spiros Skiadopoulos,2019.0,,10.1109/services.2019.00016,,https://doi.org/10.1109/services.2019.00016,OpenAlex,dark web intelligence,discovery,42.0,38.0,,407,2026-04-28T15:13:06.340854+00:00,False,20.0,81.5,20.0,0.0,62.5,55.22,Quality uncertain or moderate,human review
Vulnerability Analysis at Industrial Internet of Things Platform on Dark Web Network Using Computational Intelligence,Anand Singh Rajawat; Romil Rawat; Kanishk Barhanpurkar; Rabindra Nath Shaw; Ankush Ghosh,2021.0,Studies in computational intelligence,10.1007/978-981-16-0407-2_4,,https://doi.org/10.1007/978-981-16-0407-2_4,OpenAlex,dark web intelligence,discovery,43.0,33.0,,408,2026-04-28T15:13:06.340854+00:00,False,40.0,82.0,20.0,0.0,50.0,59.3,Quality uncertain or moderate,human review
Hadoop-based Dark Web Threat Intelligence Analysis Framework,Ying Yang; Huanhuan Yu; Lina Yang; Ming Yang; Lijuan Chen; Guichun Zhu; Liqiang Wen,2019.0,,10.1109/imcec46724.2019.8984106,,https://doi.org/10.1109/imcec46724.2019.8984106,OpenAlex,dark web intelligence,discovery,18.0,5.0,,410,2026-04-28T15:13:06.340854+00:00,False,20.0,63.8,20.0,0.0,50.0,45.02,Quality uncertain or moderate,human review
Informing Cyber Threat Intelligence through Dark Web Situational Awareness: The AZSecure Hacker Assets Portal,Sagar Samtani; Weifeng Li; Victor Benjamin; Hsinchun Chen,2021.0,Digital Threats Research and Practice,10.1145/3450972,,https://doi.org/10.1145/3450972,OpenAlex,dark web intelligence,discovery,25.0,6.0,,411,2026-04-28T15:13:06.340854+00:00,False,40.0,70.6,20.0,0.0,50.0,54.74,Quality uncertain or moderate,human review
Deep Self-Supervised Clustering of the Dark Web for Cyber Threat Intelligence,Masashi Kadoguchi; Kobayashi Hanae; S. HAYASHI; Akira Otsuka; Masaki Hashimoto,2020.0,,10.1109/isi49825.2020.9280485,,https://doi.org/10.1109/isi49825.2020.9280485,OpenAlex,dark web intelligence,discovery,19.0,5.0,,412,2026-04-28T15:13:06.340854+00:00,False,20.0,64.91,20.0,0.0,50.0,45.46,Quality uncertain or moderate,human review
A Framework for Dark Web Threat Intelligence Analysis,Xuan Zhang; KP Chow,2018.0,International Journal of Digital Crime and Forensics,10.4018/ijdcf.2018100108,,https://doi.org/10.4018/ijdcf.2018100108,OpenAlex,dark web intelligence,discovery,12.0,1.0,,413,2026-04-28T15:13:06.340854+00:00,False,40.0,55.58,20.0,0.0,50.0,48.73,Quality uncertain or moderate,human review
Autonomous Artificial Intelligence Systems for Fraud Detection and Forensics in Dark Web Environments,Romil Rawat; Olukayode Oki; Rajesh Kumar Chakrawarti; Temitope Samson Adekunle; Jose Manappattukunnel Lukose; Sunday Adeola Ajagbe,2023.0,Informatica,10.31449/inf.v46i9.4538,,https://doi.org/10.31449/inf.v46i9.4538,OpenAlex,dark web intelligence,discovery,22.0,48.0,,415,2026-04-28T15:13:06.340854+00:00,False,40.0,67.94,20.0,0.0,37.5,50.55,Quality uncertain or moderate,human review
Dark Web Marketplaces: Data for Collaborative Threat Intelligence,Kate Connolly; Anna Klempay; Mary McCann; Paul Brenner,2023.0,Digital Threats Research and Practice,10.1145/3615666,,https://doi.org/10.1145/3615666,OpenAlex,dark web intelligence,discovery,10.0,19.0,,416,2026-04-28T15:13:06.340854+00:00,False,40.0,51.96,20.0,0.0,50.0,47.28,Quality uncertain or moderate,human review
Dark Web Pattern Recognition and Crime Analysis Using Machine Intelligence,"Rawat, Romil; Mascari, Jean-Francois; Mahor, Vinod; Telang, Shrinkant; Pachlasiya, Kiran",2022.0,"Advances in digital crime, forensics, and cyber terrorism book series",10.4018/978-1-6684-3942-5,,https://doi.org/10.4018/978-1-6684-3942-5,OpenAlex,dark web intelligence,discovery,18.0,0.0,,417,2026-04-28T15:13:06.340854+00:00,False,40.0,63.8,20.0,0.0,37.5,48.89,Quality uncertain or moderate,human review
TorBot: Open Source Intelligence Tool for Dark Web,P. S. Narayanan; R. Ani; Akeem T. L. King,2020.0,Lecture notes in networks and systems,10.1007/978-981-15-0146-3_19,,https://doi.org/10.1007/978-981-15-0146-3_19,OpenAlex,dark web intelligence,discovery,8.0,21.0,,418,2026-04-28T15:13:06.340854+00:00,False,40.0,47.61,20.0,0.0,62.5,48.67,Quality uncertain or moderate,human review
Dark-Web Cyber Threat Intelligence: From Data to Intelligence to Prediction,Paulo Shakarian,2018.0,Information,10.3390/info9120305,,https://doi.org/10.3390/info9120305,OpenAlex,dark web intelligence,discovery,12.0,6.0,,419,2026-04-28T15:13:06.340854+00:00,False,40.0,55.58,20.0,0.0,50.0,48.73,Quality uncertain or moderate,human review
Using Computational Intelligence for the Dark Web and Illicit Behavior Detection,"Sankaran, K Sakthidasan; Rawat, Romil; Kaur, Upinder; Khan, Shadab; Sikarwar, Ranjana",2022.0,"Advances in digital crime, forensics, and cyber terrorism book series",10.4018/978-1-6684-6444-1,,https://doi.org/10.4018/978-1-6684-6444-1,OpenAlex,dark web intelligence,discovery,12.0,0.0,,421,2026-04-28T15:13:06.340854+00:00,False,40.0,55.58,20.0,0.0,37.5,45.61,Quality uncertain or moderate,human review
"On Strengthening SMEs and MEs Threat Intelligence and Awareness by Identifying Data Breaches, Stolen Credentials and Illegal Activities on the Dark Web",George Pantelis; Petros Petrou; Σοφία Καραγιώργου; Δ. Αλεξάνδρου,2021.0,,10.1145/3465481.3469201,,https://doi.org/10.1145/3465481.3469201,OpenAlex,dark web intelligence,discovery,19.0,15.0,,422,2026-04-28T15:13:06.340854+00:00,False,20.0,64.91,20.0,0.0,50.0,45.46,Quality uncertain or moderate,human review
Towards Safe Cyber Practices: Developing a Proactive Cyber-Threat Intelligence System for Dark Web Forum Content by Identifying Cybercrimes,Kanti Singh Sangher; Archana Singh; Hari Mohan Pandey; Vivek Kumar,2023.0,Information,10.3390/info14060349,,https://doi.org/10.3390/info14060349,OpenAlex,dark web intelligence,discovery,16.0,92.0,,425,2026-04-28T15:13:06.340854+00:00,False,40.0,61.39,20.0,0.0,62.5,54.18,Quality uncertain or moderate,human review
CRATOR a CRAwler for TOR: Turning Dark Web Pages into Open Source INTelligence,Daniel De Pascale; Giuseppe Cascavilla; Damian A. Tamburri; Willem Jan Van Den Heuvel,2024.0,Lecture notes in computer science,10.1007/978-3-031-70890-9_8,,https://doi.org/10.1007/978-3-031-70890-9_8,OpenAlex,dark web intelligence,discovery,5.0,28.0,,426,2026-04-28T15:13:06.340854+00:00,False,40.0,38.82,20.0,0.0,62.5,45.15,Quality uncertain or moderate,human review
Innovative Approaches to Dark Web Monitoring for Cybersecurity Intelligence,Anusha Reddy; K. Santhi Sri; Gayatri Ketepalli,2025.0,2025 IEEE International Conference on Emerging Trends in Computing and Communication (ETCOM),10.1109/etcom66606.2025.11436552,,https://doi.org/10.1109/etcom66606.2025.11436552,Crossref,dark web intelligence,discovery,,,,432,2026-04-28T15:13:06.340854+00:00,False,100.0,0.0,20.0,0.0,50.0,47.5,Quality uncertain or moderate,human review
A systematic review on research utilising artificial intelligence for open source intelligence (OSINT) applications,Thomas Browne; Mohammad Z. Abedin; Mohammad Jabed Morshed Chowdhury,2024.0,International Journal of Information Security,10.1007/s10207-024-00868-2,,https://doi.org/10.1007/s10207-024-00868-2,OpenAlex,OSINT research,discovery,21.0,210.0,,463,2026-04-28T15:13:06.340854+00:00,False,40.0,66.98,20.0,0.0,62.5,56.42,Quality uncertain or moderate,human review
"Use and Abuse of Personal Information, Part I: Design of a Scalable OSINT Collection Engine",Elliott Rheault; Mary Nerayo; Jaden Leonard; Jack Kolenbrander; Christopher Henshaw; Madison G. Boswell; Alan J. Michaels,2024.0,Journal of Cybersecurity and Privacy,10.3390/jcp4030027,,https://doi.org/10.3390/jcp4030027,OpenAlex,OSINT research,discovery,4.0,22.0,,471,2026-04-28T15:13:06.340854+00:00,False,100.0,34.87,20.0,0.0,25.0,55.2,Quality uncertain or moderate,human review
Values and Value Conflicts in the Context of OSINT Technologies for Cybersecurity Incident Response: A Value Sensitive Design Perspective,Thea Riebe; Julian Bäumler; Marc–André Kaufhold; Christian Reuter,2023.0,Computer Supported Cooperative Work (CSCW),10.1007/s10606-022-09453-4,,https://doi.org/10.1007/s10606-022-09453-4,OpenAlex,OSINT research,discovery,19.0,123.0,,476,2026-04-28T15:13:06.340854+00:00,False,40.0,64.91,20.0,0.0,25.0,46.21,Quality uncertain or moderate,human review
Evaluation of LLM-based chatbots for OSINT-based Cyber Threat Awareness,Samaneh Shafee; Alysson Bessani; Pedro Ferreira,2024.0,Expert Systems with Applications,10.1016/j.eswa.2024.125509,,https://doi.org/10.1016/j.eswa.2024.125509,OpenAlex,OSINT research,discovery,38.0,68.0,,477,2026-04-28T15:13:06.340854+00:00,False,40.0,79.38,20.0,0.0,25.0,52.0,Quality uncertain or moderate,human review
A Secure Open-Source Intelligence Framework For Cyberbullying Investigation,Sylvia Worlali Azumah; Victor Adewopo; Zag Elsayed; Nelly Elsayed; Murat Ozer,2024.0,2024 IEEE 3rd International Conference on AI in Cybersecurity (ICAIC),10.1109/icaic60265.2024.10433832,,https://doi.org/10.1109/icaic60265.2024.10433832,Crossref,open source investigation,discovery,,,,510,2026-04-28T15:13:06.340854+00:00,False,100.0,0.0,20.0,0.0,50.0,47.5,Quality uncertain or moderate,human review
Cybersecurity data science: an overview from machine learning perspective,Iqbal H. Sarker; A. S. M. Kayes; Shahriar Badsha; Hamed Alqahtani; Paul Watters; Alex Ng,2020.0,Journal Of Big Data,10.1186/s40537-020-00318-5,,https://doi.org/10.1186/s40537-020-00318-5,OpenAlex,cybersecurity,discovery,702.0,159.0,,528,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Blockchain's roles in strengthening cybersecurity and protecting privacy,Nir Kshetri,2017.0,Telecommunications Policy,10.1016/j.telpol.2017.09.003,,https://doi.org/10.1016/j.telpol.2017.09.003,OpenAlex,cybersecurity,discovery,778.0,19.0,,530,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Investigating the impact of cybersecurity policy awareness on employees’ cybersecurity behavior,Ling Li; Wu He; Li Da Xu; Ivan K. Ash; Mohd Anwar; Xiaohong Yuan,2018.0,International Journal of Information Management,10.1016/j.ijinfomgt.2018.10.017,,https://doi.org/10.1016/j.ijinfomgt.2018.10.017,OpenAlex,cybersecurity,discovery,317.0,61.0,,534,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Defining Cybersecurity,Dan Craigen; Nadia Diakun-Thibault; Randy Purse,2014.0,Technology Innovation Management Review,10.22215/timreview/835,,https://doi.org/10.22215/timreview/835,OpenAlex,cybersecurity,discovery,280.0,14.0,,537,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Data Mining and Machine Learning in Cybersecurity,Sumeet Dua; Xian Du,2011.0,Auerbach Publications eBooks,10.1201/b10867,,https://doi.org/10.1201/b10867,OpenAlex,cybersecurity,discovery,385.0,0.0,,539,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Cybersecurity Risk,Chris Florackis; Christodoulos Louca; Roni Michaely; Michael Weber,2022.0,Review of Financial Studies,10.1093/rfs/hhac024,,https://doi.org/10.1093/rfs/hhac024,OpenAlex,cybersecurity,discovery,248.0,74.0,,541,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Cybersecurity for Industry 4.0 in the current literature: A reference framework,Marianna Lezzi; Mariangela Lazoi; Angelo Corallo,2018.0,Computers in Industry,10.1016/j.compind.2018.09.004,,https://doi.org/10.1016/j.compind.2018.09.004,OpenAlex,cybersecurity,discovery,387.0,72.0,,544,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Application of deep learning to cybersecurity: A survey,Samaneh Mahdavifar; Ali A. Ghorbani,2019.0,Neurocomputing,10.1016/j.neucom.2019.02.056,,https://doi.org/10.1016/j.neucom.2019.02.056,OpenAlex,cybersecurity,discovery,315.0,275.0,,546,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Gender difference and employees' cybersecurity behaviors,Mohd Anwar; Wu He; Ivan K. Ash; Xiaohong Yuan; Ling Li; Li Da Xu,2016.0,Computers in Human Behavior,10.1016/j.chb.2016.12.040,,https://doi.org/10.1016/j.chb.2016.12.040,OpenAlex,cybersecurity,discovery,306.0,44.0,,547,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
"Governing autonomous vehicles: emerging responses for safety, liability, privacy, cybersecurity, and industry risks",Araz Taeihagh; Hazel Si Min Lim,2018.0,Transport Reviews,10.1080/01441647.2018.1494640,,https://doi.org/10.1080/01441647.2018.1494640,OpenAlex,cybersecurity,discovery,562.0,58.0,,548,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Introduction: new directions in cybercrime research,Adam M. Bossler; Tamar Berenblum,2019.0,Journal of Crime and Justice,10.1080/0735648x.2019.1692426,,https://doi.org/10.1080/0735648x.2019.1692426,OpenAlex,cybercrime research,discovery,87.0,7.0,,579,2026-04-28T15:13:06.340854+00:00,False,40.0,97.01,20.0,0.0,25.0,59.06,Quality uncertain or moderate,human review
Disciplinary and Interdisciplinary Trends in Cybercrime Research: An Examination,Brian K. Payne; Lora Hadzhidimova,2020.0,ODU Digital Commons (Old Dominion University),10.5281/zenodo.3741131,,https://digitalcommons.odu.edu/sociology_criminaljustice_fac_pubs/41,OpenAlex,cybercrime research,discovery,19.0,0.0,,580,2026-04-28T15:13:06.340854+00:00,False,40.0,64.91,20.0,0.0,25.0,46.21,Quality uncertain or moderate,human review
Illuminating the Dark Side of the Internet with Actor-Network Theory: An Integrative Review of Current Cybercrime Research,Rocci Luppicini,2014.0,SHILAP Revista de lepidopterología,,,https://doaj.org/article/8e4b3deb19354b929312ce3f25d34454,OpenAlex,cybercrime research,discovery,10.0,36.0,,584,2026-04-28T15:13:06.340854+00:00,False,40.0,51.96,20.0,0.0,50.0,47.28,Quality uncertain or moderate,human review
"The Ethics of Web Crawling and Web Scraping in Cybercrime Research: Navigating Issues of Consent, Privacy, and Other Potential Harms Associated with Automated Data Collection",Russell Brewer; Bryce Westlake; Tahlia Hart; Omar Arauza,2021.0,,10.1007/978-3-030-74837-1_22,,https://doi.org/10.1007/978-3-030-74837-1_22,OpenAlex,cybercrime research,discovery,22.0,93.0,,586,2026-04-28T15:13:06.340854+00:00,False,20.0,67.94,20.0,0.0,50.0,46.68,Quality uncertain or moderate,human review
An Open Dataset of Cyber Asset Graphs for Cybercrime Research,Xin Zhao; Shaolong Li; Ying Zhao; Shuowen Fu; Yunpeng Chen; Fangfang Zhou; Xin Huang; Yuwei Li; Zhuo Chen,2024.0,IEEE Transactions on Big Data,10.1109/tbdata.2024.3403371,,https://doi.org/10.1109/tbdata.2024.3403371,OpenAlex,cybercrime research,discovery,3.0,19.0,,589,2026-04-28T15:13:06.340854+00:00,False,100.0,30.04,20.0,0.0,37.5,56.39,Quality uncertain or moderate,human review
Research trends in cybercrime victimization during 2010–2020: a bibliometric analysis,Huong Thi Ngoc Ho; Hai Thanh Luong,2022.0,SN Social Sciences,10.1007/s43545-021-00305-4,,https://doi.org/10.1007/s43545-021-00305-4,OpenAlex,cybercrime research,discovery,31.0,53.0,,596,2026-04-28T15:13:06.340854+00:00,False,40.0,75.1,20.0,0.0,25.0,50.29,Quality uncertain or moderate,human review
The Novelty of ‘Cybercrime’,Majid Yar,2005.0,European Journal of Criminology,10.1177/147737080556056,,https://doi.org/10.1177/147737080556056,OpenAlex,cybercrime,discovery,489.0,57.0,,636,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Measuring the Cost of Cybercrime,Ross Anderson; Chris Barton; Rainer Böhme; Richard Clayton; Michel van Eeten; Michael Levi; Tyler Moore; Stefan Savage,2013.0,,10.1007/978-3-642-39498-0_12,,https://doi.org/10.1007/978-3-642-39498-0_12,OpenAlex,cybercrime,discovery,547.0,35.0,,637,2026-04-28T15:13:06.340854+00:00,False,20.0,100.0,20.0,0.0,12.5,50.12,Quality uncertain or moderate,human review
Cybercrime and Society,Majid Yar,2006.0,,10.4135/9781446212196,,https://doi.org/10.4135/9781446212196,OpenAlex,cybercrime,discovery,402.0,2.0,,638,2026-04-28T15:13:06.340854+00:00,False,20.0,100.0,20.0,0.0,12.5,50.12,Quality uncertain or moderate,human review
On the definition and classification of cybercrime,Sarah Gordon; Richard Ford,2006.0,Journal in Computer Virology,10.1007/s11416-006-0015-z,,https://doi.org/10.1007/s11416-006-0015-z,OpenAlex,cybercrime,discovery,303.0,9.0,,639,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Cybercrime: The Transformation of Crime in the Information Age,Audrey Guinchard,2008.0,Information Communication & Society,10.1080/13691180802158557,,https://doi.org/10.1080/13691180802158557,OpenAlex,cybercrime,discovery,352.0,0.0,,640,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Applying Routine Activity Theory to Cybercrime: A Theoretical and Empirical Analysis,Rutger Leukfeldt; Majid Yar,2016.0,Deviant Behavior,10.1080/01639625.2015.1012409,,https://doi.org/10.1080/01639625.2015.1012409,OpenAlex,cybercrime,discovery,386.0,30.0,,641,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Examining the Applicability of Lifestyle-Routine Activities Theory for Cybercrime Victimization,Thomas J. Holt; Adam M. Bossler,2008.0,Deviant Behavior,10.1080/01639620701876577,,https://doi.org/10.1080/01639620701876577,OpenAlex,cybercrime,discovery,439.0,37.0,,643,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Cybercrime: Vandalizing the Information Society,Steven Furnell,2003.0,Lecture notes in computer science,10.1007/3-540-45068-8_2,,https://doi.org/10.1007/3-540-45068-8_2,OpenAlex,cybercrime,discovery,191.0,6.0,,644,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
An Assessment of the Current State of Cybercrime Scholarship,Thomas J. Holt; Adam M. Bossler,2013.0,Deviant Behavior,10.1080/01639625.2013.822209,,https://doi.org/10.1080/01639625.2013.822209,OpenAlex,cybercrime,discovery,256.0,119.0,,645,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Cybercrime Victimization: An Examination of Individual and Situational Level Factors,Fawn T. Ngo; Raymond Paternoster,2011.0,Digital Commons - University of South Florida (University of South Florida),,,https://scholarcommons.usf.edu/cjp_facpub_sm/17,OpenAlex,cybercrime,discovery,248.0,46.0,,646,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Principles of Cybercrime,Jonathan Clough,2015.0,Cambridge University Press eBooks,10.1017/cbo9781139540803,,https://doi.org/10.1017/cbo9781139540803,OpenAlex,cybercrime,discovery,151.0,174.0,,647,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Cybercrime and shifts in opportunities during COVID-19: a preliminary analysis in the UK,David Buil‐Gil; Fernando Miró Llinares; Asier Moneva; Steven Kemp; Nacho Díaz-Castaño,2020.0,European Societies,10.1080/14616696.2020.1804973,,https://doi.org/10.1080/14616696.2020.1804973,OpenAlex,cybercrime,discovery,240.0,27.0,,649,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Organised Cybercrime or Cybercrime that is Organised? An Assessment of the Conceptualisation of Financial Cybercrime as Organised Crime,Rutger Leukfeldt; Anita Lavorgna; E.R. Kleemans,2016.0,European Journal on Criminal Policy and Research,10.1007/s10610-016-9332-z,,https://doi.org/10.1007/s10610-016-9332-z,OpenAlex,cybercrime,discovery,105.0,71.0,,651,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
Cybercrimes and the Internet,David S. Wall,2010.0,,10.4324/9780203164501_chapter_1,,https://doi.org/10.4324/9780203164501_chapter_1,OpenAlex,cybercrime,discovery,156.0,0.0,,652,2026-04-28T15:13:06.340854+00:00,False,20.0,100.0,20.0,0.0,25.0,53.25,Quality uncertain or moderate,human review
Cybercrime in Progress,Thomas J. Holt; Adam M. Bossler,2015.0,,10.4324/9781315775944,,https://doi.org/10.4324/9781315775944,OpenAlex,cybercrime,discovery,97.0,0.0,,654,2026-04-28T15:13:06.340854+00:00,False,20.0,99.35,20.0,0.0,12.5,49.86,Quality uncertain or moderate,human review
A multi-level influence model of COVID-19 themed cybercrime,Rennie Naidoo,2020.0,European Journal of Information Systems,10.1080/0960085x.2020.1771222,,https://doi.org/10.1080/0960085x.2020.1771222,OpenAlex,cybercrime,discovery,169.0,75.0,,656,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
"Conceptualizing Cybercrime: Definitions, Typologies and Taxonomies",Kirsty Phillips; Julia Davidson; Ruby Farr; Christine Burkhardt; Stefano Caneppele; Mary Aiken,2022.0,Forensic Sciences,10.3390/forensicsci2020028,,https://doi.org/10.3390/forensicsci2020028,OpenAlex,cybercrime,discovery,114.0,32.0,,657,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,12.5,57.12,Quality uncertain or moderate,human review
"Cyberbullying and Cyberthreats: Responding to the Challenge of Online Social Aggression, Threats, and Distress",Nancy E. Willard,2006.0,,,,https://dl.acm.org/citation.cfm?id=1396222,OpenAlex,online threats,discovery,713.0,0.0,,673,2026-04-28T15:13:06.340854+00:00,False,20.0,100.0,20.0,0.0,50.0,59.5,Quality uncertain or moderate,human review
